name,directory,cuisine,emoji,location,website,delivery 
True Food Café,true-food-café,Bakery 🍞, 🍞,Bangor,https://www.facebook.com/pages/True-Food-Cafe,Delivery ✅
Cherry Orchard Cafe,cherry-orchard-cafe,Bakery 🍞, 🍞,Belfast,https://www.facebook.com/cherryorchardcoffeeshop/,Delivery ✅
French Village,french-village,Bakery 🍞, 🍞,Belfast,https://www.facebook.com/frenchvillageBakery,Delivery ✅
Knotts Bakery,knotts-bakery,Bakery 🍞, 🍞,Holywood,https://www.facebook.com/knottsBakery,Delivery ✅
Knotts Bakery,knotts-bakery,Bakery 🍞, 🍞,Belfast,https://www.facebook.com/knottsBakery,Delivery ✅
Knotts Bakery ,knotts-bakery-,Bakery 🍞, 🍞,Newtownards,https://www.facebook.com/knottsBakery ,Delivery ✅
Krazi Baker,krazi-baker,Bakery 🍞,🍞,Northern Ireland,https://www.facebook.com/krazibaker/,Delivery ✅
The Violet Rose Home Bakery,the-violet-rose-home-bakery,Bakery 🍞, 🍞,Belfast,https://facebook.com/TheVioletRoseHomeBakery/,Delivery ✅
French Village,french-village,Bakery 🍞, 🍞,Belfast,https://www.facebook.com/frenchvillageBakery,Delivery ✅
The Vineyard Belfast,the-vineyard-belfast,Beer 🍺,🍺,Belfast,https://www.facebook.com/thevineyardbelfast/,Delivery ✅
Walled City Brewery,walled-city-brewery,Beer 🍺,🍺,Derry,https://www.facebook.com/walledcitybrewery/,Delivery ✅
Bullhouse Brewing Company,bullhouse-brewing-company,Beer 🍺,🍺,Belfast,https://www.facebook.com/bullhousebeer/,Delivery ✅
Boundary Brewing,boundary-brewing,Beer 🍺,🍺,Belfast,https://www.facebook.com/boundarybrewingcoop/,Delivery ✅
Asos,asos-clothing,Clothing 👚,👚,London,https://asos.com,Delivery ✅
Established,established,Coffee ☕,☕,Belfast,https://www.facebook.com/establishedcoffee/,Delivery ✅
Ballylagan Organic Farm,ballylagan-organic-farm,Farming 🥔,🥔,Ballyclare,https://www.facebook.com/BallylaganOrganicFarm/,Delivery ✅
Castel Farm Fresh Produce,castel-farm-fresh-produce,Farming 🥔,🥔,Belfast,https://www.facebook.com/Castle-Farm-Fresh-Produce-242196215812519/,Delivery ✅
Woodhill Farm Organic,woodhill-farm-organic,Farming 🥔,🥔,Castlewellan,https://www.facebook.com/woodhillfarmorganics/,Delivery ✅
Woodhill Farm Organics,woodhill-farm-organics,Farming 🥔,🥔,Castlewellan,https://www.facebook.com/woodhillfarmorganics/,Delivery ✅
The Farm Shop Comber,the-farm-shop-comber,Farming 🥔,🥔,Comber,https://www.facebook.com/thefarmshopcomber/,Delivery ✅
Stonebridge Cottage Farm,stonebridge-cottage-farm,Farming 🥔,🥔,Crossgar,https://www.facebook.com/stonebridgecottagefarm/,Delivery ✅
