X,Y,name,location,cuisine,website,delivery
-5.938383598,54.36202361,The Village Kitchen,Ards,Groceries,https://www.facebook.com/thevillagekitchenni/,Delivery ✅
-6.65179,54.34905,Emerson's Supermarket Armagh,Armagh,Groceries,https://www.facebook.com/emersonsarmagh/,Delivery ✅
-6.65179,54.34905,McAnerneys supermarket,Armagh,Groceries,https://www.facebook.com/McAnerneys/,Delivery ✅
-5.75114,54.77252,Cleaver & Steel Butchery,Ballycarry,Butchers,https://www.facebook.com/cleaverandsteel/,Delivery ✅
-6.00003,54.75174,Ballylagan Organic Farm,Ballyclare,Farm Shop,https://www.facebook.com/BallylaganOrganicFarm/,Delivery ✅
-6.00003,54.75174,Jenkins Butchers & Deli.,Ballyclare,Butchers,https://www.facebook.com/jenkins.butchers,Delivery ✅
-6.00003,54.75174,Butchers at Coleman's ,Ballyclare,Butchers,https://www.facebook.com/ColemansGardenCentre/,Delivery ✅
-5.79348,54.50133,Costcutter Ballygowan,Ballygowan,Groceries,https://www.facebook.com/CostcutterBallygowanNI/,Delivery ✅
-6.230718181,54.73367275,K&G McAtamney Butchery & Deli,Ballymena,Butchers,https://www.facebook.com/KgMcAtamneyButcheryDeli/,Delivery ✅
-6.230718181,54.73367275,Spar Frys Road,Ballymena,Groceries,https://www.facebook.com/Spar-Frys-Road-103914333149115/,Delivery ✅
-6.230718181,54.73367275,McAtamney's Butchers,Ballymena,Butchers,https://www.facebook.com/McAtamneys/,Delivery ✅
-6.51264,55.07078,McAtamney's Butchers,Ballymoney,Butchers,https://www.facebook.com/McAtamneys/,Delivery ✅
-5.89743,54.40124,Carlisles fresh foods,Ballynahinch,Groceries,https://www.facebook.com/CarlislesFreshFoodsBallynahinch/,Delivery ✅
-5.89743,54.40124,Morrison's ViVOXTRA,Ballynahinch,Groceries,https://www.facebook.com/MorrisonsVivoxtra/,Delivery ✅
-6.27214,54.3459,The New Orchard,Banbridge,Fruit and Veg,https://www.facebook.com/theneworchard/,Delivery ✅
-6.27214,54.3459,Quails Fine Foods,Banbridge,Groceries,https://www.facebook.com/quailsfinefoods/,Delivery ✅
-6.27214,54.3459,A.J Butchers Banbridge,Banbridge,Butchers,https://www.facebook.com/AJ-Butchers-Banbridge-286338511758856/,Delivery ✅
-5.66842,54.663,Irvines Butchery,Bangor,Butchers,https://www.facebook.com/IrvinesButchery/,Delivery ✅
-5.66842,54.663,Kylestone Nurseries,Bangor,Fruit and Veg,https://www.facebook.com/kylestonenurseries/,Delivery ✅
-5.66842,54.663,Mawhinneys Butchers,Bangor,Butchers,https://www.facebook.com/Davidmawhinneybutchers/,Delivery ✅
-5.66842,54.663,Ramsay's Fine Food,Bangor,Pre Made Meals,https://www.facebook.com/ramsaysfinefoods/,Delivery ✅
-5.66842,54.663,The Pit Stop Bangor,Bangor,Pre Made Meals,https://www.facebook.com/The-Pit-Stop-Bangor-2342506262686075/,Delivery ✅
-5.66842,54.663,Thomas's Family Butcher,Bangor,Butchers,https://www.facebook.com/Thomas-Family-Butchers-545459168855678/,Delivery ✅
-5.66842,54.663,Windmill Dairies,Bangor,Milk Men,https://www.facebook.com/MarkMurphyMilk/,Delivery ✅
-5.66842,54.663,True Food Café,Bangor,Bakery,https://www.facebook.com/pages/True-Food-Cafe/170906516276991?__tn__=%2CdkC-R-R&eid=ARBoTYyNu8775Hn3ALEHvwp3AQfZB1fxucrbf514Q0o8W4q_oHvCM91MjgLXbuhfW5SPiGpOsUNhW6hc&hc_ref=ART-j40sgVfa26dpyGqjRdK_rfOq9RS5xs-uv0uFDKo7qqeR6dGMedK7PFFpS5cCMhg&fref=tag,Delivery ✅
-5.93455,54.59534,Castel Farm Fresh Produce,Belfast,Farm Shop,https://www.facebook.com/Castle-Farm-Fresh-Produce-242196215812519/,Delivery ✅
-5.93455,54.59534,Catering by Anna Hasiuk,Belfast,Pre Made Meals,https://www.facebook.com/cateringannahasiuk/,Delivery ✅
-5.93455,54.59534,Cherry Orchard Cafe,Belfast,Bakery,https://www.facebook.com/cherryorchardcoffeeshop/,Delivery ✅
-5.93455,54.59534,Ewings Seafoods,Belfast,Fish,https://www.facebook.com/ewingseafoods/,Delivery ✅
-5.93455,54.59534,Fletchers Meats ,Belfast,Butchers,https://www.facebook.com/Fletcher-Meats-1878144282267339/,Delivery ✅
-5.93455,54.59534,Framewerk,Belfast,Pre Made Meals,https://www.facebook.com/framewerkbelfast/,Delivery ✅
-5.93455,54.59534,French Village,Belfast,Bakery,https://www.facebook.com/frenchvillagebakery/,Delivery ✅
-5.93455,54.59534,Fruiterama,Belfast,Fruit and Veg,https://www.facebook.com/fruiteramabelfast/,Delivery ✅
-5.93455,54.59534,Halo Healthy Kitchen,Belfast,Pre Made Meals,https://www.facebook.com/halohealthykitchen/,Delivery ✅
