name,directory,cuisine,emoji,location,website,delivery 
The Village Kitchen,the-village-kitchen,Groceries 🥫,🥫,Ards,https://www.facebook.com/thevillagekitchenni/,Delivery ✅
Emerson's Supermarket Armagh,emersons-supermarket-armagh,Groceries 🥫,🥫,Armagh,https://www.facebook.com/emersonsarmagh/,Delivery ✅
McAnerneys supermarket,mcanerneys-supermarket,Groceries 🥫,🥫,Armagh,https://www.facebook.com/McAnerneys/,Delivery ✅
Ballylagan Organic Farm,ballylagan-organic-farm,Farm Shop 🧺,🧺,Ballyclare,https://www.facebook.com/BallylaganOrganicFarm/,Delivery ✅
Costcutter Ballygowan,costcutter-ballygowan,Groceries 🥫,🥫,Ballygowan,https://www.facebook.com/CostcutterBallygowanNI/,Delivery ✅
Spar Frys Road,spar-frys-road,Groceries 🥫,🥫,Ballymena,https://www.facebook.com/Spar-Frys-Road-103914333149115/,Delivery ✅
Carlisles fresh foods,carlisles-fresh-foods,Groceries 🥫,🥫,Ballynahinch,https://www.facebook.com/CarlislesFreshFoodsBallynahinch/,Delivery ✅
Morrison's ViVOXTRA,morrisons-vivoxtra,Groceries 🥫,🥫,Ballynahinch,https://www.facebook.com/MorrisonsVivoxtra/,Delivery ✅
The New Orchard,the-new-orchard,Fruit and Veg 🥦,🥦,Banbridge,https://www.facebook.com/theneworchard/,Delivery ✅
Quails Fine Foods,quails-fine-foods,Groceries 🥫,🥫,Banbridge,https://www.facebook.com/quailsfinefoods/,Delivery ✅
Kylestone Nurseries,kylestone-nurseries,Fruit and Veg 🥦,🥦,Bangor,https://www.facebook.com/kylestonenurseries/,Delivery ✅
Ramsay's Fine Food,ramsays-fine-food,Pre Made Meals🍴,🍴,Bangor,https://www.facebook.com/ramsaysfinefoods/,Delivery ✅
The Pit Stop Bangor,the-pit-stop-bangor,Pre Made Meals🍴,🍴,Bangor,https://www.facebook.com/The-Pit-Stop-Bangor-2342506262686075/,Delivery ✅
Windmill Dairies,windmill-dairies,Milk🥛,🥛,Bangor,https://www.facebook.com/MarkMurphyMilk/,Delivery ✅
True Food Café,true-food-café,Bakery 🍞, 🍞,Bangor,https://www.facebook.com/pages/True-Food-Cafe,Delivery ✅
Castel Farm Fresh Produce,castel-farm-fresh-produce,Farm Shop 🧺,🧺,Belfast,https://www.facebook.com/Castle-Farm-Fresh-Produce-242196215812519/,Delivery ✅
Catering by Anna Hasiuk,catering-by-anna-hasiuk,Pre Made Meals🍴,🍴,Belfast,https://www.facebook.com/cateringannahasiuk/,Delivery ✅
Cherry Orchard Cafe,cherry-orchard-cafe,Bakery 🍞, 🍞,Belfast,https://www.facebook.com/cherryorchardcoffeeshop/,Delivery ✅
Ewings Seafoods,ewings-seafoods,Fish 🍣, 🍣,Belfast,https://www.facebook.com/ewingseafoods/,Delivery ✅
Framewerk,framewerk,Pre Made Meals🍴,🍴,Belfast,https://www.facebook.com/framewerkbelfast/,Delivery ✅
French Village,french-village,Bakery 🍞, 🍞,Belfast,https://www.facebook.com/frenchvillageBakery,Delivery ✅
Fruiterama,fruiterama,Fruit and Veg 🥦,🥦,Belfast,https://www.facebook.com/fruiteramabelfast/,Delivery ✅
Halo Healthy Kitchen,halo-healthy-kitchen,Pre Made Meals🍴,🍴,Belfast,https://www.facebook.com/halohealthykitchen/,Delivery ✅
Hugh Carol's Home Cooking,hugh-carols-home-cooking,Pre Made Meals🍴,🍴,Belfast,https://www.facebook.com/hchomecooking/,Delivery ✅
Michels,michels,Fruit and Veg 🥦,🥦,Belfast,https://www.facebook.com/Michels-Fresh-Fruit-and-Vegetables-114930325220883/,Delivery ✅
Mikes Fancy Cheese,mikes-fancy-cheese,Groceries 🥫,🥫,Belfast,https://www.facebook.com/mfcheese/,Delivery ✅
Mockford Milk,mockford-milk,Milk🥛,🥛,Belfast,https://mockfordmilk.co.uk/,Delivery ✅
Sawerss Belfast,sawerss-belfast,Groceries 🥫,🥫,Belfast,https://www.facebook.com/sawers.belfast/,Delivery ✅
The Morning Star,the-morning-star,Pre Made Meals🍴,🍴,Belfast,https://www.facebook.com/themorningstarbar/,Delivery ✅
Two Sisters,two-sisters,Groceries 🥫,🥫,Belfast,https://www.facebook.com/TwoSistersNI/,Delivery ✅
Whitten's,whittens,Fruit and Veg 🥦,🥦,belfast,https://www.facebook.com/whittensfruitshop/,Delivery ✅
Piper Fruit & Veg,piper-fruit-&-veg,Fruit and Veg 🥦,🥦,Belfast,https://www.facebook.com/mpipergreengrocer/,Delivery ✅
Hilltop Dairy Farm,hilltop-dairy-farm,Groceries 🥫,🥫,Carryduff,https://www.facebook.com/hilltopdairyfarm/,Delivery ✅
Woodhill Farm Organic,woodhill-farm-organic,Farm Shop 🧺,🧺,Castlewellan,https://www.facebook.com/woodhillfarmorganics/,Delivery ✅
Woodhill Farm Organics,woodhill-farm-organics,Farm Shop 🧺,🧺,Castlewellan,https://www.facebook.com/woodhillfarmorganics/,Delivery ✅
Costcutter (Cloughmills),costcutter-(cloughmills),Groceries 🥫,🥫,Cloughmills,https://www.facebook.com/CloghMills/,Delivery ✅
Springisland Supermarket,springisland-supermarket,Groceries 🥫,🥫,Coalisland,https://www.facebook.com/springisland.supermarket/,Delivery ✅
Sydney B Scotts,sydney-b-scotts,Groceries 🥫,🥫,Coleraine,https://www.facebook.com/sydneybscott/,Delivery ✅
Indie Füde,indie-fude,Groceries 🥫,🥫,Comber,https://www.facebook.com/indiefude/,Delivery ✅
The Farm Shop Comber,the-farm-shop-comber,Farm Shop 🧺,🧺,Comber,https://www.facebook.com/thefarmshopcomber/,Delivery ✅
Comber Pharmacy,comber-pharmacy,Pharmacy 🚛, 🚛,Comber,https://www.facebook.com/ComberPharmacy,Delivery ✅
Glasswater Vegetables,glasswater-vegetables,Fruit and Veg 🥦,🥦,Crossgar,https://www.facebook.com/Gavinsveg/,Delivery ✅
Stonebridge Cottage Farm,stonebridge-cottage-farm,Farm Shop 🧺,🧺,Crossgar,https://www.facebook.com/stonebridgecottagefarm/,Delivery ✅
Casey's Spar Culloville,caseys-spar-culloville,Groceries 🥫,🥫,Crossmaglen,https://www.facebook.com/caseyssparculloville/,Delivery ✅
Down Wholesale,down-wholesale,Fruit and Veg 🥦,🥦,Donaghadee,https://www.facebook.com/downwholesale/,Delivery ✅
Harvest Fayre,harvest-fayre,Fruit and Veg 🥦,🥦,Donaghadee,https://www.facebook.com/Harvestfayredonaghadee/,Delivery ✅
Donaghadee Dairies,donaghadee-dairies,Milk🥛,🥛,Donaghadee,https://www.facebook.com/DONAGHADEEDAIRIES/,Delivery ✅
Connoisseur Vegetables,connoisseur-vegetables,Fruit and Veg 🥦,🥦,Downpatrick,https://www.facebook.com/Connoisseurvegetables/,Delivery ✅
Eastcoast Seafoods,eastcoast-seafoods,Fish 🍣, 🍣,Downpatrick,https://www.facebook.com/eastcoastseafoods/,Delivery ✅
Fodder NI,fodder-ni,Farm Shop 🧺,🧺,Downpatrick,https://www.facebook.com/fodderni/,Delivery ✅
Cordners Spar,cordners-spar,Groceries 🥫,🥫,Dundonald,https://www.facebook.com/pages/Cordners-Spar/1463163433931304,Delivery ✅
Eurospar Dungiven,eurospar-dungiven,Groceries 🥫,🥫,Dungiven,https://www.facebook.com/eurospar.dungiven/,Delivery ✅
Refill Quarter,refill-quarter,Groceries 🥫,🥫,Ballyhackamore,https://www.facebook.com/refillquarter/,Delivery ✅
Newtown Coffee House,newtown-coffee-house,Groceries 🥫,🥫,Carryduff,https://www.facebook.com/newtoncoffeehouse/,Delivery ✅
Kenny's Spar,kennys-spar,Groceries 🥫,🥫,Garvagh,https://www.facebook.com/kennysconveniencestores/,Delivery ✅
McAtamney's Butchers,mcatamneys-butchers,Butchers 🐮, 🐮,Garvagh,https://www.facebook.com/McAtamneys/,Delivery ✅
Maginn's Centra Gilford,maginns-centra-gilford,Groceries 🥫,🥫,Gilford,https://www.facebook.com/CentraGilford/,Delivery ✅
Helen's Bay Organic,helens-bay-organic,Groceries 🥫,🥫,Helen's Bay,https://www.facebook.com/helensbayorganic/,Delivery ✅
Azora Co-op,azora-co-op,Fruit and Veg 🥦,🥦,Hillsborough,https://www.facebook.com/azoracoop/,Delivery ✅
Carnreagh Cottage Farm,carnreagh-cottage-farm,Farm Shop 🧺,🧺,Hillsborough,https://www.facebook.com/Carnreagh-Cottage-Farm-602099326666003/,Delivery ✅
Alexander’s,alexander’s,Pre Made Meals🍴,🍴,Holywood,https://www.facebook.com/Alexandersholywood/,Delivery ✅
Camphill,camphill,Farm Shop 🧺,🧺,Holywood,https://www.facebook.com/CamphillCommunityHolywood/,Delivery ✅
Knotts Bakery,knotts-bakery,Bakery 🍞, 🍞,Holywood,https://www.facebook.com/knottsBakery,Delivery ✅
Spar,spar,Groceries 🥫,🥫,Killyleagh,https://www.facebook.com/SPARKillyleagh/,Delivery ✅
Marshall Howe,marshall-howe,Fruit and Veg 🥦,🥦,Limavady,https://www.facebook.com/marshallhowe.greengrocers,Delivery ✅
Ashvale Farm Shop,ashvale-farm-shop,Farm Shop 🧺,🧺,Lisburn,https://www.facebook.com/ashvalefarmshop/,Delivery ✅
Kens Raw Jersey Cow Milk,kens-raw-jersey-cow-milk,Milk🥛,🥛,Lisburn,https://www.facebook.com/kensmilk/,Delivery ✅
Knotts Bakery,knotts-bakery,Bakery 🍞, 🍞,Belfast,https://www.facebook.com/knottsBakery,Delivery ✅
Moutray's Costcutter,moutrays-costcutter,Groceries 🥫,🥫,Lurgan,https://www.facebook.com/MoutraysCostcutterLurgan/,Delivery ✅
Lurgan Costcutter,lurgan-costcutter,Groceries 🥫,🥫,Lurgan,https://www.facebook.com/MoutraysCostcutterLurgan/,Delivery ✅
Dollingstown Costcutter,dollingstown-costcutter,Groceries 🥫,🥫,Lurgan,https://www.facebook.com/MoutraysCostcutterLurgan/,Delivery ✅
Hendersons North Street,hendersons-north-street,Fruit and Veg 🥦,🥦,Lurgan,https://www.facebook.com/hendersons.northstreet/,Delivery ✅
Eurospar Lurgan,eurospar-lurgan,Groceries 🥫,🥫,Lurgan,https://www.facebook.com/SparLurgan/,Delivery ✅
Bradleys Centra,bradleys-centra,Groceries 🥫,🥫,Maghera,https://www.facebook.com/bradleyscentra/,Delivery ✅
McKee's Butchers ,mckees-butchers-,Butchers 🐮, 🐮,Maghera,https://www.facebook.com/mckeespies/,Delivery ✅
Crawfords Maghera,crawfords-maghera,Groceries 🥫,🥫,Maghera,https://www.facebook.com/crawfords.maghera/,Delivery ✅
Mourne Manor Organics,mourne-manor-organics,Fruit and Veg 🥦,🥦,Newcastle,https://www.facebook.com/mournemanororganics/,Delivery ✅
Pro-Performance Nutrition,pro-performance-nutrition,Pre Made Meals🍴,🍴,Newry,https://www.facebook.com/propernut/,Delivery ✅
Clives Country Corner,clives-country-corner,Fruit and Veg 🥦,🥦,Newtownards,https://www.facebook.com/clivesonline/,Delivery ✅
Knotts Bakery ,knotts-bakery-,Bakery 🍞, 🍞,Newtownards,https://www.facebook.com/knottsBakery ,Delivery ✅
Farm Next Door,farm-next-door,Farm Shop 🧺,🧺,Northern Ireland,https://farmnextdoor.uk/,Delivery ✅
Keenan Seafood,keenan-seafood,Fish 🍣, 🍣,Northern Ireland,https://www.facebook.com/keenanseafoods/,Delivery ✅
Mourne Seafood,mourne-seafood,Fish 🍣, 🍣,Northern Ireland,https://www.facebook.com/mourneFishbox/,Delivery ✅
Oh So Lean,oh-so-lean,Pre Made Meals🍴,🍴,Northern Ireland,https://www.facebook.com/OhSoLean/,Delivery ✅
Reubens Gourmet Meals,reubens-gourmet-meals,Pre Made Meals🍴,🍴,Northern Ireland,https://www.facebook.com/Reubenshealthymeals/,Delivery ✅
Railway Cottage Farm Shop,railway-cottage-farm-shop,Farm Shop 🧺,🧺,Omagh,https://www.facebook.com/railwaycottagefarmshop/,Delivery ✅
The mini market,the-mini-market,Groceries 🥫,🥫,Eastside,https://www.facebook.com/Orangefield-Mini-Market-1375533009196789/,Delivery ✅
Chapmans Farm Fresh,chapmans-farm-fresh,Farm Shop 🧺,🧺,Portadown,https://www.facebook.com/Chapmans-Farm-Fresh-412124342265051/,Delivery ✅
Karri Kitchen,karri-kitchen,Pre Made Meals🍴,🍴,Portadown,https://www.facebook.com/karrikitchen/,Delivery ✅
Rosemount Cottage Farm Meats,rosemount-cottage-farm-meats,Farm Shop 🧺,🧺,Portadown,https://www.facebook.com/rosemountcottagefarmmeats/,Delivery ✅
Weir's Organic Raw Milk,weirs-organic-raw-milk,Milk🥛,🥛,Portadown,https://www.facebook.com/Weirs-Organic-Raw-Milk-422591707846805/,Delivery ✅
Rices,rices,Pre Made Meals🍴,🍴,Poyntzpass,https://www.facebook.com/rices.poyntzpass/,Delivery ✅
O'Malley's Farm Shop,omalleys-farm-shop,Farm Shop 🧺,🧺,Poyntzpass,https://www.facebook.com/omalleysfarmshop/,Delivery ✅
Poyntzpass Pharmacy,poyntzpass-pharmacy,Pharmacy 🚛, 🚛,Poyntzpass,https://www.facebook.com/Poyntzpass-Pharmacy-126660150820450/,Delivery ✅
Trainors Spar,trainors-spar,Groceries 🥫,🥫,Poyntzpass,https://www.facebook.com/SPARPoyntzpass/,Delivery ✅
Fruitfield Foodhall,fruitfield-foodhall,Groceries 🥫,🥫,Richhill,https://www.facebook.com/fruitfieldfoodhall/,Delivery ✅
Jacksons of Saintfield,jacksons-of-saintfield,Groceries 🥫,🥫,Saintfield,https://www.facebook.com/jacksonsofsaintfield/,Delivery ✅
Weir's Organic Raw Milk ,weirs-organic-raw-milk ,Milk🥛,🥛,Tandragee ,https://www.facebook.com/Weirs-Organic-Raw-Milk-422591707846805/,Delivery ✅
J.D. Hunter and Co Supermarket,j.d.-hunter-and-co-supermarket,Groceries 🥫,🥫,Armagh,https://www.facebook.com/hunterssupermarket/,Delivery ✅
McAnerneys,mcanerneys,Groceries 🥫,🥫,Armagh,https://www.facebook.com/McAnerneys/,Delivery ✅
Kearney Milk,kearney-milk,Milk🥛,🥛,Armagh,https://www.facebook.com/Kearney-Milk-Delivery-103307577981911/,Delivery ✅
Mash Direct,mash-direct,Potatos 🥔,🥔,Northern Ireland,https://www.facebook.com/MashDirect/,Delivery ✅
Krazi Baker,krazi-baker,Bakery 🍞,🍞,Northern Ireland,https://www.facebook.com/krazibaker/,Delivery ✅
Established,established,Coffee ☕,☕,Belfast,https://www.facebook.com/establishedcoffee/,Delivery ✅
Amarc Catering,amarc-catering,Pre Made Meals🍴,🍴,Belfast,https://www.facebook.com/AmarcCatering,Delivery ✅
Jumon Belfast,jumon-belfast,Pre Made Meals🍴,🍴,Belfast,https://www.facebook.com/jumonbelfast/,Delivery ✅
The Vineyard Belfast,the-vineyard-belfast,Beer 🍺,🍺,Belfast,https://www.facebook.com/thevineyardbelfast/,Delivery ✅
The Violet Rose Home Bakery,the-violet-rose-home-bakery,Bakery 🍞, 🍞,Belfast,https://facebook.com/TheVioletRoseHomeBakery/,Delivery ✅
French Village,french-village,Bakery 🍞, 🍞,Belfast,https://www.facebook.com/frenchvillageBakery,Delivery ✅
Zen,zen,Asian 🏮,🏮,Belfast,https://www.facebook.com/zenbelfast,Delivery ✅
Yügo Belfast,yugo-belfast,Asian 🏮,🏮,Belfast,https://www.facebook.com/Y%C3%BCgo-Belfast-1198161290243518,Delivery ✅
World Food Groups,world-food-groups,Groceries 🥫,🥫,Bangor,https://www.facebook.com/worldfoodsgroup/,Delivery ✅
Wine With Stories,wine-with-stories,Wine 🍷,🍷,Belfast,https://www.facebook.com/Wineswithstories/,Delivery ✅
Whittens Fruit Shop,whittens-fruit-shop,Fruit and Veg 🥦,🥦,Belfast,https://www.facebook.com/whittensfruitshop/,Delivery ✅
Warke's Deli,warkes-deli,Groceries 🥫,🥫,Portstewart,https://www.facebook.com/warkesdeli/,Delivery ✅
Walled City Brewery,walled-city-brewery,Beer 🍺,🍺,Derry,https://www.facebook.com/walledcitybrewery/,Delivery ✅
AJ Fresh Foods ,aj-fresh-foods-,Fruit and Veg 🥦,🥦,Newry,https://www.facebook.com/ajfreshfoods/,Delivery ✅
Alexander's,alexanders,Asian 🏮,🏮,Holywood,https://www.facebook.com/Alexandersholywood/,Delivery ✅
Azora Coop,azora-coop,Fruit and Veg 🥦,🥦,Hillsborough,https://www.facebook.com/azoracoop/,Delivery ✅
DC Wines,dc-wines,Wine 🍷,🍷,Belfast,https://www.facebook.com/dcwinesboucher,Delivery ✅
Direct Wine,direct-wine,Wine 🍷,🍷,Belfast,https://www.facebook.com/directwineshipments/,Delivery ✅
Down Wholesale,down-wholesale,Fruit and Veg 🥦,🥦,Belfast,https://www.facebook.com/downwholesale/,Delivery ✅
Bullhouse Brewing Company,bullhouse-brewing-company,Beer 🍺,🍺,Belfast,https://www.facebook.com/bullhousebeer/,Delivery ✅
Boundary Brewing,boundary-brewing,Beer 🍺,🍺,Belfast,https://www.facebook.com/boundarybrewingcoop/,Delivery ✅
