X,Y,name,location,cuisine,website,mainPicture,delivery
-5.938383598,54.36202361,The Village Kitchen,Ards,Groceries,https://www.facebook.com/thevillagekitchenni/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/21617576_1517623341655347_3959021310426761558_n.jpg?_nc_cat=102&_nc_sid=85a577&_nc_ohc=q8BtPemMKgMAX-wu-Pt&_nc_ht=scontent.flhr4-2.fna&oh=c6b3562bd6b6d2a6f5dff9fe5a9ec8d7&oe=5EA34858,Delivery ✅
-6.65179,54.34905,Emerson's Supermarket Armagh,Armagh,Groceries,https://www.facebook.com/emersonsarmagh/,https://scontent.flhr4-1.fna.fbcdn.net/v/t31.0-8/21015787_1960684937502240_5428135239831180070_o.jpg?_nc_cat=106&_nc_sid=7aed08&_nc_ohc=2onXdn-qLYMAX-Kp509&_nc_ht=scontent.flhr4-1.fna&oh=f9a90a0285a55590000078a4248957c6&oe=5EA13CDA,Delivery ✅
-6.65179,54.34905,McAnerneys supermarket,Armagh,Groceries,https://www.facebook.com/McAnerneys/,https://scontent.flhr4-2.fna.fbcdn.net/v/t31.0-8/19401870_1407237752662759_8778026337188671532_o.jpg?_nc_cat=100&_nc_sid=85a577&_nc_ohc=mRrOXUbTBJIAX_NUXSy&_nc_ht=scontent.flhr4-2.fna&oh=768d0ab273d83de7cd68c3f6bd06e141&oe=5EA1FAF7,Delivery ✅
-6.00003,54.75174,Ballylagan Organic Farm,Ballyclare,Farm Shop,https://www.facebook.com/BallylaganOrganicFarm/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/10432999_815263215213702_72205696979947992_n.jpg?_nc_cat=106&_nc_sid=85a577&_nc_ohc=hW4PWWv64oUAX-mWgK8&_nc_ht=scontent.flhr4-1.fna&oh=085c972e90d8a497a5e724acdcc8d133&oe=5EA01A2C,Delivery ✅
-5.79348,54.50133,Costcutter Ballygowan,Ballygowan,Groceries,https://www.facebook.com/CostcutterBallygowanNI/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/42604152_2674361502581380_3149008465955913728_n.jpg?_nc_cat=110&_nc_sid=85a577&_nc_ohc=izgEU1nHjBIAX_yXEzb&_nc_ht=scontent.flhr4-2.fna&oh=118720ea6d74a4afba2bbea6fab53c47&oe=5EA064DE,Delivery ✅
-6.230718181,54.73367275,Spar Frys Road,Ballymena,Groceries,https://www.facebook.com/Spar-Frys-Road-103914333149115/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/90679419_1259557240918146_5014102352160882688_n.jpg?_nc_cat=108&_nc_sid=85a577&_nc_ohc=Ip7rZOaMUCcAX-JyPtQ&_nc_ht=scontent.flhr4-1.fna&oh=421126e3cd32cfe120736eadf3e66ce3&oe=5EA1FE95,Delivery ✅
-5.89743,54.40124,Carlisles fresh foods,Ballynahinch,Groceries,https://www.facebook.com/CarlislesFreshFoodsBallynahinch/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/69537694_2956034567803359_9121872841434726400_o.jpg?_nc_cat=109&_nc_sid=85a577&_nc_ohc=Mq9XEX28pn0AX-N-5q2&_nc_ht=scontent.flhr4-2.fna&oh=59c270cf66ae56d44370b685f6f7acb4&oe=5EA30AC5,Delivery ✅
-5.89743,54.40124,Morrison's ViVOXTRA,Ballynahinch,Groceries,https://www.facebook.com/MorrisonsVivoxtra/,https://scontent.flhr4-2.fna.fbcdn.net/v/t1.0-9/14980594_1013400955448459_378267665522531834_n.jpg?_nc_cat=100&_nc_sid=85a577&_nc_ohc=t4QFYjAcvt4AX8Wv8il&_nc_ht=scontent.flhr4-2.fna&oh=1e9e6226d897538e153491f6c7e4b32b&oe=5EA266F0,Delivery ✅
-6.27214,54.3459,The New Orchard,Banbridge,Fruit and Veg,https://www.facebook.com/theneworchard/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/12472782_979025608844296_8996212472770123106_n.jpg?_nc_cat=101&_nc_sid=85a577&_nc_ohc=i4FM3Kja5X4AX8mqgnT&_nc_ht=scontent.flhr4-1.fna&oh=5c1d85229d8b82f7dc23258a0038aec7&oe=5E9FF93D,Delivery ✅
-6.27214,54.3459,Quails Fine Foods,Banbridge,Groceries,https://www.facebook.com/quailsfinefoods/,https://scontent.flhr4-1.fna.fbcdn.net/v/t1.0-9/12651235_1055211164499917_4676618705924072205_n.jpg?_nc_cat=106&_nc_sid=85a577&_nc_ohc=CQuuLcmgT3EAX8F5cS7&_nc_ht=scontent.flhr4-1.fna&oh=142840f61866659d1041033332cc1835&oe=5EA0754D,Delivery ✅
