name,directory,cuisine,emoji,location,website,delivery ,type
The Village Kitchen,the-village-kitchen,Groceries 🥫,🥫,Ards,https://www.facebook.com/thevillagekitchenni/,Delivery ✅,groceries
Emerson's Supermarket Armagh,emersons-supermarket-armagh,Groceries 🥫,🥫,Armagh,https://www.facebook.com/emersonsarmagh/,Delivery ✅,groceries
McAnerneys supermarket,mcanerneys-supermarket,Groceries 🥫,🥫,Armagh,https://www.facebook.com/McAnerneys/,Delivery ✅,groceries
Ballylagan Organic Farm,ballylagan-organic-farm,Farm Shop 🧺,🧺,Ballyclare,https://www.facebook.com/BallylaganOrganicFarm/,Delivery ✅,farm-shop
Costcutter Ballygowan,costcutter-ballygowan,Groceries 🥫,🥫,Ballygowan,https://www.facebook.com/CostcutterBallygowanNI/,Delivery ✅,groceries
Spar Frys Road,spar-frys-road,Groceries 🥫,🥫,Ballymena,https://www.facebook.com/Spar-Frys-Road-103914333149115/,Delivery ✅,groceries
Carlisles fresh foods,carlisles-fresh-foods,Groceries 🥫,🥫,Ballynahinch,https://www.facebook.com/CarlislesFreshFoodsBallynahinch/,Delivery ✅,groceries
Morrison's ViVOXTRA,morrisons-vivoxtra,Groceries 🥫,🥫,Ballynahinch,https://www.facebook.com/MorrisonsVivoxtra/,Delivery ✅,groceries
The New Orchard,the-new-orchard,Fruit and Veg 🥦,🥦,Banbridge,https://www.facebook.com/theneworchard/,Delivery ✅,fruit-and-veg
Quails Fine Foods,quails-fine-foods,Groceries 🥫,🥫,Banbridge,https://www.facebook.com/quailsfinefoods/,Delivery ✅,groceries
Kylestone Nurseries,kylestone-nurseries,Fruit and Veg 🥦,🥦,Bangor,https://www.facebook.com/kylestonenurseries/,Delivery ✅,fruit-and-veg
Ramsay's Fine Food,ramsays-fine-food,Pre Made Meals🍴,🍴,Bangor,https://www.facebook.com/ramsaysfinefoods/,Delivery ✅,pre-made-meals
The Pit Stop Bangor,the-pit-stop-bangor,Pre Made Meals🍴,🍴,Bangor,https://www.facebook.com/The-Pit-Stop-Bangor-2342506262686075/,Delivery ✅,pre-made-meals
Windmill Dairies,windmill-dairies,Milk🥛,🥛,Bangor,https://www.facebook.com/MarkMurphyMilk/,Delivery ✅,milk
True Food Café,true-food-café,Bakery 🍞, 🍞,Bangor,https://www.facebook.com/pages/True-Food-Cafe,Delivery ✅,bakery
Castel Farm Fresh Produce,castel-farm-fresh-produce,Farm Shop 🧺,🧺,Belfast,https://www.facebook.com/Castle-Farm-Fresh-Produce-242196215812519/,Delivery ✅,farm-shop
Catering by Anna Hasiuk,catering-by-anna-hasiuk,Pre Made Meals🍴,🍴,Belfast,https://www.facebook.com/cateringannahasiuk/,Delivery ✅,pre-made-meals
Cherry Orchard Cafe,cherry-orchard-cafe,Bakery 🍞, 🍞,Belfast,https://www.facebook.com/cherryorchardcoffeeshop/,Delivery ✅,bakery
Ewings Seafoods,ewings-seafoods,Fish 🍣, 🍣,Belfast,https://www.facebook.com/ewingseafoods/,Delivery ✅,fish
Framewerk,framewerk,Pre Made Meals🍴,🍴,Belfast,https://www.facebook.com/framewerkbelfast/,Delivery ✅,pre-made-meals
French Village,french-village,Bakery 🍞, 🍞,Belfast,https://www.facebook.com/frenchvillageBakery,Delivery ✅,bakery
Fruiterama,fruiterama,Fruit and Veg 🥦,🥦,Belfast,https://www.facebook.com/fruiteramabelfast/,Delivery ✅,fruit-and-veg
Halo Healthy Kitchen,halo-healthy-kitchen,Pre Made Meals🍴,🍴,Belfast,https://www.facebook.com/halohealthykitchen/,Delivery ✅,pre-made-meals
Hugh Carol's Home Cooking,hugh-carols-home-cooking,Pre Made Meals🍴,🍴,Belfast,https://www.facebook.com/hchomecooking/,Delivery ✅,pre-made-meals
Michels,michels,Fruit and Veg 🥦,🥦,Belfast,https://www.facebook.com/Michels-Fresh-Fruit-and-Vegetables-114930325220883/,Delivery ✅,fruit-and-veg
Mikes Fancy Cheese,mikes-fancy-cheese,Groceries 🥫,🥫,Belfast,https://www.facebook.com/mfcheese/,Delivery ✅,groceries
Mockford Milk,mockford-milk,Milk🥛,🥛,Belfast,https://mockfordmilk.co.uk/,Delivery ✅,milk
Sawerss Belfast,sawerss-belfast,Groceries 🥫,🥫,Belfast,https://www.facebook.com/sawers.belfast/,Delivery ✅,groceries
The Morning Star,the-morning-star,Pre Made Meals🍴,🍴,Belfast,https://www.facebook.com/themorningstarbar/,Delivery ✅,pre-made-meals
Two Sisters,two-sisters,Groceries 🥫,🥫,Belfast,https://www.facebook.com/TwoSistersNI/,Delivery ✅,groceries
Whitten's,whittens,Fruit and Veg 🥦,🥦,belfast,https://www.facebook.com/whittensfruitshop/,Delivery ✅,fruit-and-veg
Piper Fruit & Veg,piper-fruit-&-veg,Fruit and Veg 🥦,🥦,Belfast,https://www.facebook.com/mpipergreengrocer/,Delivery ✅,fruit-and-veg
Hilltop Dairy Farm,hilltop-dairy-farm,Groceries 🥫,🥫,Carryduff,https://www.facebook.com/hilltopdairyfarm/,Delivery ✅,groceries
Woodhill Farm Organic,woodhill-farm-organic,Farm Shop 🧺,🧺,Castlewellan,https://www.facebook.com/woodhillfarmorganics/,Delivery ✅,farm-shop
Woodhill Farm Organics,woodhill-farm-organics,Farm Shop 🧺,🧺,Castlewellan,https://www.facebook.com/woodhillfarmorganics/,Delivery ✅,farm-shop
Costcutter (Cloughmills),costcutter-(cloughmills),Groceries 🥫,🥫,Cloughmills,https://www.facebook.com/CloghMills/,Delivery ✅,groceries
Springisland Supermarket,springisland-supermarket,Groceries 🥫,🥫,Coalisland,https://www.facebook.com/springisland.supermarket/,Delivery ✅,groceries
